<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,D,20210103,000000,51.5000000,51.8200000,51.3800000,51.7400000,2176
ICE.BRN,D,20210104,000000,51.7400000,53.3300000,50.5600000,50.6700000,265285
ICE.BRN,D,20210105,000000,50.9500000,53.9000000,50.7000000,53.5700000,296062
ICE.BRN,D,20210106,000000,53.5200000,54.7300000,53.0200000,54.1500000,231283
ICE.BRN,D,20210107,000000,54.1300000,54.9000000,53.9400000,54.5200000,144086
ICE.BRN,D,20210108,000000,54.5600000,56.3600000,54.3400000,56.3600000,192380
ICE.BRN,D,20210110,000000,56.2400000,56.3900000,55.8800000,55.8900000,1482
ICE.BRN,D,20210111,000000,55.9100000,56.0100000,54.9900000,55.6200000,157216
ICE.BRN,D,20210112,000000,55.6600000,56.7900000,55.5100000,56.7800000,165314
ICE.BRN,D,20210113,000000,56.8300000,57.4200000,55.7700000,55.9100000,168698
ICE.BRN,D,20210114,000000,55.9300000,56.5700000,55.2400000,56.4600000,145705
ICE.BRN,D,20210115,000000,56.4100000,56.5000000,54.6400000,55.0000000,182592
ICE.BRN,D,20210117,000000,54.7500000,55.0700000,54.7500000,54.8900000,927
ICE.BRN,D,20210118,000000,54.9100000,55.2100000,54.4900000,54.7900000,78208
ICE.BRN,D,20210119,000000,55.0100000,56.0800000,54.8900000,55.9300000,144672
ICE.BRN,D,20210120,000000,56.0700000,56.6400000,55.6600000,55.6900000,144678
ICE.BRN,D,20210121,000000,55.8200000,56.2400000,55.4900000,56.1700000,109025
ICE.BRN,D,20210122,000000,56.0000000,56.0300000,54.4800000,55.2100000,164957
ICE.BRN,D,20210124,000000,55.2600000,55.4700000,55.1500000,55.4000000,1753
ICE.BRN,D,20210125,000000,55.3800000,56.0200000,55.0700000,55.9100000,109175
ICE.BRN,D,20210126,000000,55.9300000,56.3400000,55.3900000,55.8700000,85113
ICE.BRN,D,20210127,000000,55.8400000,56.1900000,54.9400000,55.3000000,164586
ICE.BRN,D,20210128,000000,55.1800000,56.2200000,54.9100000,55.0300000,187567
ICE.BRN,D,20210129,000000,55.0400000,56.0200000,54.9000000,55.1000000,197528
ICE.BRN,D,20210131,000000,54.9100000,55.0300000,54.6000000,54.9100000,3372
ICE.BRN,D,20210201,000000,54.9100000,56.5300000,54.8100000,56.2100000,186362
ICE.BRN,D,20210202,000000,56.3500000,58.0500000,56.3300000,57.8200000,196174
ICE.BRN,D,20210203,000000,57.8500000,58.9400000,57.5000000,58.6700000,174328
ICE.BRN,D,20210204,000000,58.5900000,59.1200000,58.0400000,59.1100000,152979
ICE.BRN,D,20210205,000000,59.1700000,59.7800000,59.0800000,59.6200000,117936
ICE.BRN,D,20210207,000000,59.4300000,59.9100000,59.4300000,59.9100000,2225
ICE.BRN,D,20210208,000000,59.9100000,60.7200000,59.7700000,60.6600000,155064
ICE.BRN,D,20210209,000000,60.8000000,61.3400000,60.0500000,61.2900000,167657
ICE.BRN,D,20210210,000000,61.2100000,61.6900000,60.8700000,61.1000000,147101
ICE.BRN,D,20210211,000000,61.0100000,61.5000000,60.7200000,60.8600000,106883
ICE.BRN,D,20210212,000000,60.8200000,62.8300000,60.3500000,62.7100000,166393
ICE.BRN,D,20210213,000000,62.4300000,62.4300000,62.4300000,62.4300000,1
ICE.BRN,D,20210214,000000,62.8300000,63.4400000,62.8200000,63.0900000,4264
ICE.BRN,D,20210215,000000,63.0900000,63.7600000,63.0500000,63.3300000,115472
ICE.BRN,D,20210216,000000,63.4700000,63.7000000,62.6900000,63.5600000,168745
ICE.BRN,D,20210217,000000,63.1500000,64.9600000,62.7300000,64.8900000,204702
ICE.BRN,D,20210218,000000,65.0200000,65.5200000,63.2200000,63.5300000,193223
ICE.BRN,D,20210219,000000,63.3000000,63.9400000,62.0900000,62.8400000,161564
ICE.BRN,D,20210220,000000,62.9100000,62.9100000,62.9100000,62.9100000,1
ICE.BRN,D,20210221,000000,62.6800000,63.3600000,62.5500000,63.3200000,1185
ICE.BRN,D,20210222,000000,63.3100000,65.8500000,63.1800000,65.8000000,130217
ICE.BRN,D,20210223,000000,65.5100000,66.7900000,64.4700000,65.0900000,121591
ICE.BRN,D,20210224,000000,65.0600000,67.3100000,64.8000000,67.3100000,49030
ICE.BRN,D,20210225,000000,67.2000000,67.7000000,66.4800000,67.0800000,31444
ICE.BRN,D,20210226,000000,66.8900000,66.9000000,64.2500000,64.6300000,167246
ICE.BRN,D,20210227,000000,64.4200000,64.4200000,64.4200000,64.4200000,1
ICE.BRN,D,20210228,000000,64.8500000,65.4100000,64.6900000,65.3800000,2112
ICE.BRN,D,20210301,000000,65.3900000,65.9300000,63.1700000,63.3100000,186951
ICE.BRN,D,20210302,000000,63.1200000,64.1300000,62.3800000,62.6200000,210927
ICE.BRN,D,20210303,000000,62.3800000,64.7000000,62.3800000,63.9900000,209282
ICE.BRN,D,20210304,000000,64.1000000,67.7500000,63.3300000,67.2600000,319496
ICE.BRN,D,20210305,000000,67.1600000,69.6900000,66.6700000,69.6900000,219360
ICE.BRN,D,20210306,000000,69.3600000,69.3600000,69.3600000,69.3600000,1
ICE.BRN,D,20210307,000000,69.9700000,71.1600000,69.9400000,70.4200000,6531
ICE.BRN,D,20210308,000000,70.4400000,71.3800000,67.8000000,68.1200000,211363
ICE.BRN,D,20210309,000000,68.1300000,69.3300000,67.1200000,67.3000000,174218
ICE.BRN,D,20210310,000000,67.4600000,68.4200000,66.5000000,68.1800000,214312
ICE.BRN,D,20210311,000000,68.4500000,69.8400000,67.9900000,69.6200000,163237
ICE.BRN,D,20210312,000000,69.5900000,69.9000000,69.0300000,69.2300000,133248
ICE.BRN,D,20210314,000000,69.0800000,69.7200000,69.0700000,69.5000000,1612
ICE.BRN,D,20210315,000000,69.4900000,70.0300000,67.8200000,68.7900000,167130
ICE.BRN,D,20210316,000000,68.8100000,68.9400000,67.3600000,68.4700000,149275
ICE.BRN,D,20210317,000000,68.3900000,68.8900000,66.9600000,67.7400000,180678
ICE.BRN,D,20210318,000000,67.7700000,68.1500000,61.4500000,62.8700000,334604
ICE.BRN,D,20210319,000000,62.9900000,64.9500000,62.0700000,64.4600000,263030
ICE.BRN,D,20210321,000000,64.5300000,64.7600000,63.9200000,63.9700000,1354
ICE.BRN,D,20210322,000000,63.9900000,65.1200000,63.4500000,64.2900000,131287
ICE.BRN,D,20210323,000000,64.3000000,64.3000000,60.2700000,60.3800000,218034
ICE.BRN,D,20210324,000000,60.5000000,64.5700000,60.4700000,64.2200000,160551
ICE.BRN,D,20210325,000000,63.9900000,64.1900000,60.9800000,61.8400000,141197
ICE.BRN,D,20210326,000000,62.0100000,64.7500000,61.8500000,64.2200000,134804
ICE.BRN,D,20210328,000000,64.4300000,64.4800000,63.9400000,64.3700000,2205
ICE.BRN,D,20210329,000000,64.3700000,65.3400000,63.0100000,65.1900000,183264
ICE.BRN,D,20210330,000000,65.3900000,65.3900000,63.5000000,64.0200000,174893
