<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20210101,000000,73.7880000,74.0042000,73.7880000,73.8090000,13
USDRUB,D,20210103,000000,73.7900000,74.5255000,73.7900000,74.4807000,205
USDRUB,D,20210104,000000,74.3617000,74.5750000,73.0248000,74.5035000,428495
USDRUB,D,20210105,000000,74.4911000,75.2761200,73.8130000,74.2509000,486552
USDRUB,D,20210106,000000,74.2273000,74.2707000,73.3500000,74.1278000,527991
USDRUB,D,20210107,000000,73.7960000,74.9510000,73.4380000,74.5962000,47446
USDRUB,D,20210108,000000,74.4000000,74.8250000,73.7655000,74.0795000,570453
USDRUB,D,20210110,000000,74.1448000,74.2876000,73.7200000,73.9300000,1095
USDRUB,D,20210111,000000,74.0897000,74.9960000,73.8570000,74.4270000,685714
USDRUB,D,20210112,000000,74.6506000,74.7694000,73.3500000,73.4610000,806182
USDRUB,D,20210113,000000,73.4537000,74.2880000,73.3350000,73.8795000,776815
USDRUB,D,20210114,000000,73.8445000,74.0045900,73.0120000,73.3033000,588280
USDRUB,D,20210115,000000,73.3038000,73.8790300,73.1300000,73.3100000,784610
USDRUB,D,20210117,000000,73.5451000,74.0400000,73.3900000,73.6951000,678
USDRUB,D,20210118,000000,73.6795000,74.4450000,73.3960000,73.8800000,499738
USDRUB,D,20210119,000000,74.0378000,74.3202000,73.5000000,73.7272000,679683
USDRUB,D,20210120,000000,73.7704000,74.0800000,73.1500000,73.4866000,630877
USDRUB,D,20210121,000000,73.4713000,74.1000000,73.1260000,73.8993000,834822
USDRUB,D,20210122,000000,73.9383000,75.3601200,73.7440000,75.1411000,758719
USDRUB,D,20210124,000000,75.1200000,75.5259000,75.1200000,75.4064000,871
USDRUB,D,20210125,000000,75.4053000,75.8588900,74.3467000,75.2130000,845574
USDRUB,D,20210126,000000,75.2837000,75.7838900,74.8170000,74.9150000,750774
USDRUB,D,20210127,000000,75.1067000,75.9783800,74.5580000,75.7780000,1025269
USDRUB,D,20210128,000000,75.8595000,76.5006400,75.5900000,76.0390000,1061601
USDRUB,D,20210129,000000,76.0390000,76.4510000,75.1740000,75.8064000,1135327
USDRUB,D,20210131,000000,75.8147000,75.9372000,75.5750000,75.7150000,595
USDRUB,D,20210201,000000,75.7520000,76.2030000,75.2979000,76.0720000,884387
USDRUB,D,20210202,000000,76.0510000,76.3430000,75.2585000,76.2349000,1061909
USDRUB,D,20210203,000000,76.1150000,76.3492000,75.5410000,75.9224000,825337
USDRUB,D,20210204,000000,75.9138000,76.0472100,75.2528000,75.5429000,801495
USDRUB,D,20210205,000000,75.4390000,75.7120000,74.4596000,74.5982000,606080
USDRUB,D,20210207,000000,74.8650000,74.8650000,74.3930000,74.5800000,412
USDRUB,D,20210208,000000,74.6614000,74.7630000,74.0948000,74.3142000,694690
USDRUB,D,20210209,000000,74.1810000,74.4067000,73.7350000,73.9079000,451433
USDRUB,D,20210210,000000,73.9003000,74.0191000,73.5619000,73.7870000,787058
USDRUB,D,20210211,000000,73.8000000,73.9290000,73.4745000,73.6586000,708012
USDRUB,D,20210212,000000,73.6585000,74.4631100,73.3780000,73.6361000,696519
USDRUB,D,20210214,000000,73.6910000,73.7663000,73.4570000,73.6047000,742
USDRUB,D,20210215,000000,73.5647000,73.7437000,73.0957000,73.2600000,526055
USDRUB,D,20210216,000000,73.3294000,73.9056100,73.1125000,73.4490000,628498
USDRUB,D,20210217,000000,73.5572000,74.1922100,73.4140000,73.6380000,797517
USDRUB,D,20210218,000000,73.7524000,74.1645200,73.4580000,73.8130000,782936
USDRUB,D,20210219,000000,73.8451000,74.3320000,73.7450000,74.0940000,624509
USDRUB,D,20210221,000000,74.0694000,74.5316000,73.8830000,74.0220000,594
USDRUB,D,20210222,000000,74.0220000,75.0702400,73.7870000,74.1250000,441347
USDRUB,D,20210223,000000,74.2619000,74.3073000,73.6400000,73.9500000,74538
USDRUB,D,20210224,000000,74.0778000,74.2699000,73.3536000,73.5079000,859303
